Time_Seconds,Total_Counts,Exposure,Counts_Per_Second
0.0,3.0,20.0,0.15
20.0,8.0,20.0,0.4
40.0,5.0,20.0,0.25
60.0,3.0,20.0,0.15
80.0,1.0,20.0,0.05
100.0,3.0,20.0,0.15
120.0,5.0,20.0,0.25
140.0,3.0,20.0,0.15
160.0,3.0,20.0,0.15
180.0,3.0,20.0,0.15
200.0,4.0,20.0,0.2
220.0,8.0,20.0,0.4
240.0,7.0,20.0,0.35
260.0,1.0,20.0,0.05
280.0,1.0,20.0,0.05
300.0,4.0,20.0,0.2
320.0,5.0,20.0,0.25
340.0,7.0,20.0,0.35
360.0,3.0,20.0,0.15
380.0,5.0,20.0,0.25
400.0,1.0,20.0,0.05
420.0,6.0,20.0,0.3
440.0,3.0,20.0,0.15
460.0,4.0,20.0,0.2
480.0,4.0,20.0,0.2
500.0,10.0,20.0,0.5
520.0,1.0,20.0,0.05
540.0,2.0,20.0,0.1
560.0,0.0,20.0,0.0
580.0,5.0,20.0,0.25
600.0,1.0,20.0,0.05
620.0,4.0,20.0,0.2
640.0,2.0,20.0,0.1
660.0,5.0,20.0,0.25
680.0,2.0,20.0,0.1
700.0,2.0,20.0,0.1
720.0,2.0,20.0,0.1
740.0,5.0,20.0,0.25
760.0,3.0,20.0,0.15
780.0,5.0,20.0,0.25
800.0,2.0,20.0,0.1
820.0,6.0,20.0,0.3
840.0,4.0,20.0,0.2
860.0,0.0,20.0,0.0
880.0,1.0,20.0,0.05
900.0,3.0,20.0,0.15
920.0,2.0,20.0,0.1
940.0,3.0,20.0,0.15
960.0,2.0,20.0,0.1
980.0,1.0,20.0,0.05
1000.0,4.0,20.0,0.2
1020.0,3.0,20.0,0.15
1040.0,4.0,20.0,0.2
1060.0,4.0,20.0,0.2
1080.0,2.0,20.0,0.1
1100.0,3.0,20.0,0.15
1120.0,1.0,20.0,0.05
1140.0,5.0,20.0,0.25
1160.0,1.0,20.0,0.05
1180.0,4.0,20.0,0.2
1200.0,5.0,20.0,0.25
1220.0,2.0,20.0,0.1
1240.0,5.0,20.0,0.25
1260.0,3.0,20.0,0.15
1280.0,2.0,20.0,0.1
1300.0,2.0,20.0,0.1
1320.0,2.0,20.0,0.1
1340.0,2.0,20.0,0.1
1360.0,7.0,20.0,0.35
1380.0,4.0,20.0,0.2
1400.0,4.0,20.0,0.2
1420.0,2.0,20.0,0.1
1440.0,3.0,20.0,0.15
1460.0,3.0,20.0,0.15
1480.0,3.0,20.0,0.15
1500.0,7.0,20.0,0.35
1520.0,2.0,20.0,0.1
1540.0,4.0,20.0,0.2
1560.0,4.0,20.0,0.2
1580.0,8.0,20.0,0.4
1600.0,3.0,20.0,0.15
1620.0,4.0,20.0,0.2
1640.0,5.0,20.0,0.25
1660.0,4.0,20.0,0.2
1680.0,5.0,20.0,0.25
1700.0,3.0,20.0,0.15
1720.0,4.0,20.0,0.2
1740.0,2.0,20.0,0.1
1760.0,2.0,20.0,0.1
1780.0,4.0,20.0,0.2
1800.0,5.0,20.0,0.25
1820.0,4.0,20.0,0.2
1840.0,4.0,20.0,0.2
1860.0,2.0,20.0,0.1
1880.0,4.0,20.0,0.2
1900.0,5.0,20.0,0.25
1920.0,3.0,20.0,0.15
1940.0,3.0,20.0,0.15
1960.0,9.0,20.0,0.45
1980.0,0.0,20.0,0.0
2000.0,5.0,20.0,0.25
2020.0,2.0,20.0,0.1
2040.0,6.0,20.0,0.3
2060.0,2.0,20.0,0.1
2080.0,5.0,20.0,0.25
2100.0,7.0,20.0,0.35
2120.0,1.0,20.0,0.05
2140.0,2.0,20.0,0.1
2160.0,2.0,20.0,0.1
2180.0,4.0,20.0,0.2
2200.0,4.0,20.0,0.2
2220.0,3.0,20.0,0.15
2240.0,0.0,20.0,0.0
2260.0,4.0,20.0,0.2
2280.0,7.0,20.0,0.35
2300.0,2.0,20.0,0.1
2320.0,0.0,20.0,0.0
2340.0,4.0,20.0,0.2
2360.0,1.0,20.0,0.05
2380.0,0.0,20.0,0.0
2400.0,2.0,20.0,0.1
2420.0,1.0,20.0,0.05
2440.0,6.0,20.0,0.3
2460.0,1.0,20.0,0.05
2480.0,2.0,20.0,0.1
2500.0,3.0,20.0,0.15
2520.0,1.0,20.0,0.05
2540.0,0.0,20.0,0.0
2560.0,2.0,20.0,0.1
2580.0,2.0,20.0,0.1
2600.0,2.0,20.0,0.1
2620.0,1.0,20.0,0.05
2640.0,2.0,20.0,0.1
2660.0,5.0,20.0,0.25
2680.0,3.0,20.0,0.15
2700.0,1.0,20.0,0.05
2720.0,1.0,20.0,0.05
2740.0,3.0,20.0,0.15
2760.0,5.0,20.0,0.25
2780.0,2.0,20.0,0.1
2800.0,6.0,20.0,0.3
2820.0,0.0,20.0,0.0
2840.0,1.0,20.0,0.05
2860.0,3.0,20.0,0.15
2880.0,3.0,20.0,0.15
2900.0,3.0,20.0,0.15
2920.0,1.0,20.0,0.05
2940.0,5.0,20.0,0.25
2960.0,3.0,20.0,0.15
2980.0,2.0,20.0,0.1
3000.0,2.0,20.0,0.1
3020.0,5.0,20.0,0.25
3040.0,4.0,20.0,0.2
3060.0,3.0,20.0,0.15
3080.0,2.0,20.0,0.1
3100.0,1.0,20.0,0.05
3120.0,3.0,20.0,0.15
3140.0,5.0,20.0,0.25
3160.0,0.0,20.0,0.0
3180.0,6.0,20.0,0.3
3200.0,3.0,20.0,0.15
3220.0,4.0,20.0,0.2
3240.0,3.0,20.0,0.15
3260.0,3.0,20.0,0.15
3280.0,3.0,20.0,0.15
3300.0,8.0,20.0,0.4
3320.0,2.0,20.0,0.1
3340.0,0.0,20.0,0.0
3360.0,3.0,20.0,0.15
3380.0,2.0,20.0,0.1
3400.0,11.0,20.0,0.55
3420.0,8.0,20.0,0.4
3440.0,8.0,20.0,0.4
3460.0,11.0,20.0,0.55
3480.0,4.0,20.0,0.2
3500.0,4.0,20.0,0.2
3520.0,4.0,20.0,0.2
3540.0,7.0,20.0,0.35
3560.0,5.0,20.0,0.25
3580.0,2.0,20.0,0.1
3600.0,0.0,20.0,0.0
3620.0,2.0,20.0,0.1
3640.0,5.0,20.0,0.25
3660.0,3.0,20.0,0.15
3680.0,2.0,20.0,0.1
3700.0,3.0,20.0,0.15
3720.0,1.0,20.0,0.05
3740.0,8.0,20.0,0.4
3760.0,3.0,20.0,0.15
3780.0,5.0,20.0,0.25
3800.0,2.0,20.0,0.1
3820.0,10.0,20.0,0.5
3840.0,2.0,20.0,0.1
3860.0,14.0,20.0,0.7
3880.0,5.0,20.0,0.25
3900.0,5.0,20.0,0.25
3920.0,6.0,20.0,0.3
3940.0,5.0,20.0,0.25
3960.0,7.0,20.0,0.35
3980.0,0.0,20.0,0.0
4000.0,9.0,20.0,0.45
4020.0,3.0,20.0,0.15
4040.0,2.0,20.0,0.1
4060.0,6.0,20.0,0.3
4080.0,6.0,20.0,0.3
4100.0,2.0,20.0,0.1
4120.0,3.0,20.0,0.15
4140.0,3.0,20.0,0.15
4160.0,3.0,20.0,0.15
4180.0,0.0,20.0,0.0
4200.0,1.0,20.0,0.05
4220.0,2.0,20.0,0.1
4240.0,1.0,20.0,0.05
4260.0,1.0,20.0,0.05
4280.0,1.0,20.0,0.05
4300.0,1.0,20.0,0.05
4320.0,5.0,20.0,0.25
4340.0,2.0,20.0,0.1
4360.0,2.0,20.0,0.1
4380.0,3.0,20.0,0.15
4400.0,3.0,20.0,0.15
4420.0,5.0,20.0,0.25
4440.0,2.0,20.0,0.1
4460.0,8.0,20.0,0.4
4480.0,11.0,20.0,0.55
4500.0,5.0,20.0,0.25
4520.0,10.0,20.0,0.5
4540.0,6.0,20.0,0.3
4560.0,6.0,20.0,0.3
4580.0,4.0,20.0,0.2
4600.0,10.0,20.0,0.5
4620.0,3.0,20.0,0.15
4640.0,6.0,20.0,0.3
4660.0,6.0,20.0,0.3
4680.0,6.0,20.0,0.3
4700.0,4.0,20.0,0.2
