TIME,COUNTS
1781308800.0,
1781308801.0,6.0
1781308802.0,8.0
1781308803.0,10.0
1781308804.0,3.0
1781308805.0,10.0
1781308806.0,
1781308807.0,12.0
1781308808.0,13.0
1781308809.0,8.0
1781308810.0,8.0
1781308811.0,8.0
1781308812.0,7.0
1781308813.0,10.0
1781308814.0,10.0
1781308815.0,6.0
1781308816.0,10.0
1781308817.0,6.0
1781308818.0,8.0
1781308819.0,14.0
1781308820.0,11.0
1781308821.0,5.0
1781308822.0,7.0
1781308823.0,9.0
1781308824.0,15.0
1781308825.0,9.0
1781308826.0,9.0
1781308827.0,7.0
1781308828.0,5.0
1781308829.0,10.0
1781308830.0,5.0
1781308831.0,6.0
1781308832.0,7.0
1781308833.0,7.0
1781308834.0,6.0
1781308835.0,7.0
1781308836.0,10.0
1781308837.0,7.0
1781308838.0,6.0
1781308839.0,3.0
1781308840.0,7.0
1781308841.0,6.0
1781308842.0,5.0
1781308843.0,6.0
1781308844.0,6.0
1781308845.0,3.0
1781308846.0,5.0
1781308847.0,9.0
1781308848.0,7.0
1781308849.0,7.0
1781308850.0,11.0
1781308851.0,8.0
1781308852.0,9.0
1781308853.0,6.0
1781308854.0,7.0
1781308855.0,8.0
1781308856.0,10.0
1781308857.0,4.0
1781308858.0,7.0
1781308859.0,5.0
1781308860.0,3.0
1781308861.0,8.0
1781308862.0,4.0
1781308863.0,6.0
1781308864.0,10.0
1781308865.0,6.0
1781308866.0,13.0
1781308867.0,13.0
1781308868.0,12.0
1781308869.0,7.0
1781308870.0,12.0
1781308871.0,7.0
1781308872.0,8.0
1781308873.0,9.0
1781308874.0,12.0
1781308875.0,4.0
1781308876.0,5.0
1781308877.0,3.0
1781308878.0,9.0
1781308879.0,7.0
1781308880.0,6.0
1781308881.0,6.0
1781308882.0,9.0
1781308883.0,14.0
1781308884.0,8.0
1781308885.0,7.0
1781308886.0,2.0
1781308887.0,10.0
1781308888.0,4.0
1781308889.0,11.0
1781308890.0,9.0
1781308891.0,6.0
1781308892.0,8.0
1781308893.0,4.0
1781308894.0,12.0
1781308895.0,9.0
1781308896.0,11.0
1781308897.0,10.0
1781308898.0,6.0
1781308899.0,7.0
1781308900.0,10.0
1781308901.0,10.0
1781308902.0,15.0
1781308903.0,7.0
1781308904.0,6.0
1781308905.0,3.0
1781308906.0,9.0
1781308907.0,9.0
1781308908.0,8.0
1781308909.0,11.0
1781308910.0,11.0
1781308911.0,8.0
1781308912.0,7.0
1781308913.0,9.0
1781308914.0,8.0
1781308915.0,9.0
1781308916.0,8.0
1781308917.0,4.0
1781308918.0,8.0
1781308919.0,7.0
1781308920.0,4.0
1781308921.0,9.0
1781308922.0,6.0
1781308923.0,9.0
1781308924.0,6.0
1781308925.0,6.0
1781308926.0,6.0
1781308927.0,4.0
1781308928.0,11.0
1781308929.0,6.0
1781308930.0,4.0
1781308931.0,6.0
1781308932.0,8.0
1781308933.0,9.0
1781308934.0,7.0
1781308935.0,7.0
1781308936.0,7.0
1781308937.0,2.0
1781308938.0,6.0
